PROC_OFFICER_NAME,ARTWORK_ARTWORK_ID
Gift of the architect in honor of Lily Auchincloss,430
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",431
Gift of the architect,432
Gift of Ivan Chermayeff,433
Gift of the architect in honor of Lily Auchincloss,434
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",435
Gift of the architect,436
Gift of the architect in honor of Lily Auchincloss,437
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",438
Gift of the architect,439
Gift of the architects in honor of Lily Auchincloss,440
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",441
Gift of the architect,442
Marshall Cogan Purchase Fund,443
Gift of the architect in honor of Lily Auchincloss,444
Gift of the architect in honor of Philip Johnson,445
Gift of the architect,446
Marshall Cogan Purchase Fund,447
Gift of the architects in honor of Lily Auchincloss,448
Gift of the architect in honor of Philip Johnson,449
Gift of the architect,450
Gift of Ricardo Bofill Taller de Arquitectura,451
Gift of the architect in honor of Lily Auchincloss,452
Gift of the architect in honor of Philip Johnson,453
Gift of the architect,454
Gift of Ricardo Bofill Taller de Arquitectura,455
Gift of the architect in honor of Lily Auchincloss,456
Gift of the architect in honor of Philip Johnson,457
Gift of the architect,458
Gift of Ricardo Bofill Taller de Arquitectura,459
Gift of the architect in honor of Lily Auchincloss,460
Gift of the architect in honor of Philip Johnson,461
Gift of the architect,462
Gift of Ricardo Bofill Taller de Arquitectura,463
Gift of the architect in honor of Lily Auchincloss,464
Gift of the architect in honor of Philip Johnson,465
Gift of the architect,466
Gift of Ricardo Bofill Taller de Arquitectura,467
Gift of the architects in honor of Lily Auchincloss,468
Gift of the architect in honor of Philip Johnson,469
Gift of the architect,470
Gift of Ricardo Bofill Taller de Arquitectura,471
Gift of the architect in honor of Lily Auchincloss,472
Gift of the architect in honor of Philip Johnson,473
Gift of the architect,474
Gift of Ricardo Bofill Taller de Arquitectura,475
Gift of the architect in honor of Lily Auchincloss,476
Gift of the architect in honor of Philip Johnson,477
Gift of the architect,478
Gift of Ricardo Bofill Taller de Arquitectura,479
Gift of the architect in honor of Lily Auchincloss,480
Gift of the architect in honor of Lily Auchincloss,481
Gift of the architect in honor of Lily Auchincloss,482
Gift of the architect in honor of Philip Johnson,483
Gift of the architect,484
Gift of the architect,485
Gift of Ricardo Bofill Taller de Arquitectura,486
Gift of the architect in honor of Philip Johnson,487
Gift of the architect,488
Gift of the architect,489
Gift of Ricardo Bofill Taller de Arquitectura,490
Gift of the architect in honor of Philip Johnson,491
Gift of the architect,492
Gift of the architect,493
"Gift of Lily Auchincloss, Celeste Bartos, and Marshall Cogan",494
Gift of Ricardo Bofill Taller de Arquitectura,495
Gift of the architect in honor of Philip Johnson,496
Gift of the architect,497
Gift of the architect,498
"Gift of Lily Auchincloss, Celeste Bartos, and Marshall Cogan",499
Gift of the architect,500
Gift of the architect in honor of Philip Johnson,501
Gift of the architect,502
Gift of the architect,503
Gift of the architect,504
Gift of Ricardo Bofill Taller de Arquitectura,505
Gift of the architect in honor of Philip Johnson,506
Gift of the architect,507
Gift of the architect,508
Gift of the architect,509
Gift of Ricardo Bofill Taller de Arquitectura,510
Gift of the architect in honor of Philip Johnson,511
Gift of the architect,512
Gift of the architect,513
Gift of the architect,514
Arthur A. Cohen Purchase Fund,515
Frederieke Taylor Purchase Fund,516
Gift of the architect in honor of Philip Johnson,517
Gift of the architect,518
Gift of the architect,519
Gift of the architect,520
Purchase,521
Gift of Kenneth Walker,522
Gift of the architect in honor of Philip Johnson,523
Gift of the architect,524
Gift of the architect,525
Gift of the architect,526
Purchase,527
Gift of the architect in honor of Philip Johnson,528
Gift of the architect,529
Gift of the architect,530
Gift of the architect,531
Purchase,532
Gift of the architect in honor of Philip Johnson,533
Gift of the architect,534
Gift of the architect,535
Purchase,536
Gift of the architect,538
Gift of the architect,539
Purchase,540
Gift of the architect,542
Gift of the architect,543
Purchase,544
Gift of the architect,546
Gift of the architect,547
Purchase,548
Gift of the architect,550
Gift of the architect,551
Purchase,552
Gift of the architect,553
Gift of the architect,554
Purchase,555
Gift of the architect,556
Gift of the architect,557
Emilio Ambasz Fund,558
Gift of the architect,559
Gift of the architect,560
Gift of the architect,561
Gift of the architect,562
Gift of the architect,563
Gift of the architect,564
Gift of the architect,565
Gift of the architect,566
Gift of the architect,567
Gift of the architect,568
Gift of the architect,569
Gift of the architect,570
Gift of the architect,571
Gift of the architect,572
Gift of the architect,573
Gift of the architect,574
Gift of the architect,575
