ARTWORK_ID,ARTWORK_TITLE,ARTWORK_CREATION_YEAR,ACQUSITION_DATE,PROC_OFFICER_NAME
246,American System-Built Houses for The Richards Company,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
247,American System-Built Houses for The Richards Company. ,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
248,American System-Built Houses for The Richards Company,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
249,American System-Built Houses for The Richards Company,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
250,American System-Built Houses for The Richards Company,1917,1993-05-04 00:00:00,"Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund"
252,Ibirapuera Park project,1953,1991-06-04 00:00:00,"Gift of Roblee McCarthy, Jr. Fund and Lily Auchincloss Fund"
253,Ibirapuera Park Project,1953,1991-06-04 00:00:00,"Gift of Roblee McCarthy, Jr. Fund and Lily Auchincloss Fund"
255,Prototype Architecture School No. 5,1992,1998-04-22 00:00:00,Ralph Fehlbaum Purchase Fund
256,Bismarck Monument,1910,1998-04-22 00:00:00,"Rob Beyer Purchase Fund, Edward Larrabee Barnes Purchase Fund, Marcel Breuer Purchase Fund, and Philip Johnson Purchase Fund"
257,Simulated Dwelling for a Family of Five Project,1970,1973-05-08 00:00:00,Estée and Joseph Lauder Design Fund
258,Gotthard Bank,1986,1987-05-27 00:00:00,Gift of Banca del Gottardo
259,Gotthard Bank,1985,1987-05-27 00:00:00,Gift of Banca del Gottardo
260,Gotthard Bank,1985,1987-05-27 00:00:00,Gift of Banca del Gottardo
262,Gotthard Bank,1986,1987-05-27 00:00:00,Gift of Banca del Gottardo
263,Gotthard Bank,1986,1987-05-27 00:00:00,Gift of Banca del Gottardo
264,Dymaxion Dwelling Machine,1945,1978-02-27 00:00:00,"Gift of The Gilman Foundation, Inc."
266,Dymaxion Dwelling Machine,1945,1978-02-27 00:00:00,"Gift of The Gilman Foundation, Inc."
